Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,AIS Rank,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
Comunicacio-Revista de Recerca i d Analisi,COMUNICACIO,SOC CATALANA COMUNICACIO,2014-0304,2014-0444,COMMUNICATION,ESCI,26,0.1,Q4,0.05,0.00%,216/227,0.2,Q4,0.1,<0.1,218/229,Q4,5.02,0.00002,0.00466,0.046,5.1,Q4,206/213,11,100.00%,,7.5,11
Dixit,DIXIT,"UNIV CATOLICA URUGUAY, FAC CIENCIAS HUMANAS",1688-3497,0797-3691,COMMUNICATION,ESCI,24,0.1,Q4,0.05,100.00%,216/227,0.1,Q4,0.1,<0.1,218/229,Q4,5.02,0.00005,0.01167,0.09,5.1,Q4,192/213,22,100.00%,,7.4,22
H-ermes-Journal of Communication,H-ERMES,UNIV STUDI SALENTO,2666-7215,2284-0753,COMMUNICATION,ESCI,21,0.1,Q4,0.06,0.00%,216/227,0.1,Q4,0.1,<0.1,216/229,Q4,5.9,0.00002,0.00667,0.031,5.1,Q4,210/213,19,89.47%,,11,17
ILEF Dergisi,ILEF DERG,"ANKARA UNIV, FAC COMMUNICATION",2148-7219,2458-9209,COMMUNICATION,ESCI,11,0.1,Q4,0.02,88.64%,216/227,0.1,Q4,0.1,<0.1,223/229,Q4,2.84,0.00002,0.00658,0.05,5.1,Q4,203/213,14,92.86%,,11.1,13
Revista Comunicacao Midiatica,REV COMUN MIDIATICA,"UNIV ESTADUAL PAULISTA JULIO MESQUITA FILHO, FAC ARQUITETURA ARTES & COMUN",2236-8000,2236-8000,COMMUNICATION,ESCI,7,<0.1,Q4,0,0.00%,225/227,<0.1,Q4,<0.1,<0.1,227/229,Q4,1.09,0,0.00004,0,1.1,Q4,213/213,34,100.00%,,7.7,34
Revista Mediacao,REV MEDIACAO,UNIV FUNDACAO MINEIRA EDUCACAO & CULTURA-FUMEC,1676-2827,2179-9571,COMMUNICATION,ESCI,2,<0.1,Q4,0,0.00%,225/227,<0.1,Q4,<0.1,<0.1,227/229,Q4,1.09,0,0.00008,0.001,1.1,Q4,212/213,36,100.00%,,14,36
Sustainability,SUSTAINABILITY-BASEL,MDPI,2227-9032,2071-1050,ENVIRONMENTAL STUDIES,SSCI,283527,3.3,Q2,0.67,99.97%,80/191,3.6,Q2,2.9,0.9,106/191,Q3,44.76,0.27834,61.93065,0.538,58.4,Q3,134/183,11214,90.92%,3.4,5.7,10196
Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,ENVIRONMENTAL STUDIES,SSCI,68208,9.2,Q1,2.09,34.76%,10/191,8.8,Q1,8.8,1.8,11/191,Q1,94.5,0.04191,9.32669,1.732,95,Q1,28/183,406,99.51%,7.4,5.2,404
Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,1999-4907,1758-6798,ENVIRONMENTAL STUDIES,SSCI,53557,27.1,Q1,5.83,29.52%,1/191,32.9,Q1,26.7,3,1/191,Q1,99.74,0.06178,13.74616,11.531,99.7,Q1,1/183,236,91.95%,6.7,5.6,217
ECOLOGICAL ECONOMICS,ECOL ECON,ELSEVIER,1478-4491,1873-6106,ENVIRONMENTAL STUDIES,SSCI,35499,6.3,Q1,1.56,46.84%,27/191,7.3,Q1,6,1.3,28/191,Q1,85.6,0.01907,4.24466,1.616,86.1,Q1,34/183,299,99.00%,9.3,7.5,296
LAND USE POLICY,LAND USE POLICY,ELSEVIER SCI LTD,1471-2288,1873-5754,ENVIRONMENTAL STUDIES,SSCI,35259,5.9,Q1,1.41,30.56%,29/191,6.9,Q1,5.5,1.5,34/191,Q1,82.46,0.02898,6.44842,1.236,85.1,Q2,51/183,324,98.15%,5.2,7.2,318
Tourism Management,TOURISM MANAGE,ELSEVIER SCI LTD,2227-9032,1879-3193,ENVIRONMENTAL STUDIES,SSCI,34184,12.4,Q1,2.96,21.23%,6/191,13.6,Q1,11.3,1.7,3/191,Q1,98.69,0.01794,3.99331,2.543,97.1,Q1,12/183,163,96.93%,7.9,6.9,158
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,ELSEVIER,1477-7525,1872-6062,ENVIRONMENTAL STUDIES,SSCI,32710,9.2,Q1,2.4,42.41%,10/191,10.4,Q1,8.7,1.5,6/191,Q1,97.12,0.01877,4.1782,2.15,95,Q1,17/183,186,95.70%,7.9,6.7,178
Business Strategy and the Environment,BUS STRATEG ENVIRON,WILEY,0964-4733,1099-0836,ENVIRONMENTAL STUDIES,SSCI,30263,13.3,Q1,2.76,47.04%,5/191,16.1,Q1,11.5,1.7,4/191,Q1,98.17,0.0262,5.83094,2.435,97.6,Q1,13/183,432,99.77%,4.1,5.5,431
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ELSEVIER SCI LTD,0959-3780,1872-9495,ENVIRONMENTAL STUDIES,SSCI,26254,9.1,Q1,2.37,62.32%,12/191,11.5,Q1,8.8,1.2,7/191,Q1,96.6,0.01761,3.92018,3.368,94,Q1,7/183,111,100.00%,8.5,6.4,111
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORT RES D-TR E,PERGAMON-ELSEVIER SCIENCE LTD,1361-9209,1879-2340,ENVIRONMENTAL STUDIES,SSCI,25282,7.7,Q1,1.69,30.51%,18/191,9.1,Q1,6.7,1.6,24/191,Q1,87.7,0.02403,5.34819,1.8,90.8,Q1,23/183,426,99.06%,4.7,5.2,422
Land,LAND-BASEL,MDPI,2073-445X,2073-445X,ENVIRONMENTAL STUDIES,SSCI,25153,3.2,Q2,0.78,99.93%,82/191,3.4,Q3,2.7,0.8,84/191,Q2,56.28,0.02849,6.33949,0.549,57.3,Q3,131/183,2239,96.38%,2.6,6.2,2158
Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,1542-4278,2398-9629,ENVIRONMENTAL STUDIES,SSCI,24660,27.1,Q1,5.2,22.81%,1/191,32.8,Q1,26.8,5.1,2/191,Q1,99.21,0.04814,10.71153,9.639,99.7,Q1,2/183,210,90.48%,4.1,5.4,190
Energy Research & Social Science,ENERGY RES SOC SCI,ELSEVIER,1520-6688,2214-6326,ENVIRONMENTAL STUDIES,SSCI,22343,7.4,Q1,1.31,60.99%,19/191,7.9,Q1,6,1.2,39/191,Q1,79.84,0.02683,5.97186,1.722,90.3,Q1,29/183,490,92.45%,4.2,5.7,453
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,J ENVIRON PSYCHOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0272-4944,1522-9610,ENVIRONMENTAL STUDIES,SSCI,20719,7,Q1,1.85,46.99%,22/191,8.7,Q1,6.2,1,21/191,Q1,89.27,0.01234,2.74744,2.201,88.7,Q1,16/183,214,97.66%,10.4,8.4,209
URBAN FORESTRY & URBAN GREENING,URBAN FOR URBAN GREE,ELSEVIER GMBH,2193-7532,1610-8167,ENVIRONMENTAL STUDIES,SSCI,20098,6.7,Q1,1.87,33.70%,24/191,7.6,Q1,6,1.4,19/191,Q1,90.31,0.01697,3.77763,1.39,87.7,Q2,46/183,327,95.11%,4.9,6.6,311
Marine Policy,MAR POLICY,ELSEVIER SCI LTD,1477-7525,1872-9460,ENVIRONMENTAL STUDIES,SSCI,17081,3.7,Q2,1.44,37.85%,66/191,4,Q2,3.2,0.6,33/191,Q1,82.98,0.01488,3.311,0.849,65.7,Q2,86/183,450,98.89%,5.5,6.6,445
URBAN STUDIES,URBAN STUD,SAGE PUBLICATIONS LTD,2214-594X,1360-063X,ENVIRONMENTAL STUDIES,SSCI,16324,4.1,Q2,1.05,41.24%,52/191,5.2,Q1,3.6,0.7,56/191,Q2,70.94,0.01123,2.49892,1.468,73,Q1,40/183,152,100.00%,9.2,8.2,152
Sustainable Production and Consumption,SUSTAIN PROD CONSUMP,ELSEVIER,2624-893X,2352-5509,ENVIRONMENTAL STUDIES,SSCI,15572,9.6,Q1,2.05,41.69%,9/191,10.5,Q1,9,1.7,12/191,Q1,93.98,0.01839,4.09179,1.746,95.5,Q1,26/183,360,85.28%,3.1,5,307
Corporate Social Responsibility and Environmental Management,CORP SOC RESP ENV MA,WILEY,1535-3958,1535-3966,ENVIRONMENTAL STUDIES,SSCI,15559,9.1,Q1,1.98,31.92%,12/191,11.3,Q1,7.6,1.3,14/191,Q1,92.93,0.01195,2.6601,1.52,94,Q1,37/183,369,90.51%,4.4,6.3,334
ECOLOGY AND SOCIETY,ECOL SOC,Resilience Alliance,1708-3087,,ENVIRONMENTAL STUDIES,SSCI,13977,3.2,Q2,0.88,98.65%,82/191,4,Q2,3,0.5,77/191,Q2,59.95,0.0058,1.29272,1.03,57.3,Q2,70/183,134,98.51%,10,8.2,132
Environmental Impact Assessment Review,ENVIRON IMPACT ASSES,ELSEVIER SCIENCE INC,0195-9255,1873-6432,ENVIRONMENTAL STUDIES,SSCI,13886,11.2,Q1,2.43,15.62%,7/191,10,Q1,9.7,1.8,5/191,Q1,97.64,0.01212,2.69684,1.609,96.6,Q1,35/183,327,96.64%,3,4.8,316
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,J ENVIRON ECON MANAG,ACADEMIC PRESS INC ELSEVIER SCIENCE,0095-0696,1096-0449,ENVIRONMENTAL STUDIES,SSCI,12038,5.9,Q1,1.46,40.00%,29/191,7.5,Q1,5.6,1.1,32/191,Q1,83.51,0.00991,2.2061,2.681,85.1,Q1,11/183,136,99.26%,8.5,8.3,135
HABITAT INTERNATIONAL,HABITAT INT,PERGAMON-ELSEVIER SCIENCE LTD,2035-5556,1873-5428,ENVIRONMENTAL STUDIES,SSCI,12035,7,Q1,1.71,19.92%,22/191,7.5,Q1,6.1,1.6,23/191,Q1,88.22,0.00643,1.43164,1.305,88.7,Q2,49/183,177,99.44%,7.1,6.3,176
Environment and Planning A-Economy and Space,ENVIRON PLANN A,SAGE PUBLICATIONS INC,1478-4491,1472-3409,ENVIRONMENTAL STUDIES,SSCI,11477,4,Q2,1.14,47.64%,56/191,4.4,Q2,3.7,0.8,48/191,Q2,75.13,0.00799,1.77914,1.664,70.9,Q1,32/183,81,100.00%,12.4,7.6,81
REGIONAL STUDIES,REG STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2413-8851,1360-0591,ENVIRONMENTAL STUDIES,SSCI,11305,4.2,Q2,1.12,40.79%,50/191,5.1,Q1,3.6,0.9,49/191,Q2,74.61,0.0092,2.04706,1.343,74.1,Q2,47/183,106,100.00%,7.7,7.6,106
Ecosystem Services,ECOSYST SERV,ELSEVIER,2212-0416,2212-0416,ENVIRONMENTAL STUDIES,SSCI,10896,6.6,Q1,1.34,47.00%,25/191,7.5,Q1,6,1.6,38/191,Q1,80.37,0.00766,1.70616,1.453,87.2,Q1,42/183,93,82.80%,6.2,7.1,77
ENVIRONMENT AND BEHAVIOR,ENVIRON BEHAV,SAGE PUBLICATIONS INC,0013-9165,1552-390X,ENVIRONMENTAL STUDIES,SSCI,8819,4.6,Q1,1.21,35.59%,43/191,7,Q1,4.5,0.2,42/191,Q1,78.27,0.00239,0.53211,1.71,77.7,Q1,30/183,26,100.00%,16.2,8.6,26
Wiley Interdisciplinary Reviews-Climate Change,WIRES CLIM CHANGE,WILEY,1757-7780,1757-7799,ENVIRONMENTAL STUDIES,SSCI,8692,10.3,Q1,1.54,68.49%,8/191,13.6,Q1,10,1,30/191,Q1,84.55,0.01013,2.25611,4.616,96.1,Q1,5/183,44,20.45%,6.9,5.9,9
Regional Environmental Change,REG ENVIRON CHANGE,SPRINGER HEIDELBERG,1436-3798,1436-378X,ENVIRONMENTAL STUDIES,SSCI,8304,3.6,Q2,0.78,51.42%,70/191,4.3,Q2,3.5,0.9,84/191,Q2,56.28,0.00612,1.3626,1.047,63.6,Q2,66/183,170,91.76%,6.9,7.3,156
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,COMPUT ENVIRON URBAN,ELSEVIER SCI LTD,2056-6085,1873-7587,ENVIRONMENTAL STUDIES,SSCI,8300,8.3,Q1,1.64,35.29%,16/191,8.5,Q1,7.9,1.1,27/191,Q1,86.13,0.00715,1.5924,1.709,91.9,Q1,31/183,104,98.08%,5.4,6.3,102
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,ANNUAL REVIEWS,2673-2726,1545-2050,ENVIRONMENTAL STUDIES,SSCI,8211,16,Q1,1.56,94.12%,3/191,22.2,Q1,15.9,0.7,28/191,Q1,85.6,0.00662,1.47479,7.108,98.7,Q1,3/183,25,0.00%,8.7,6.2,0
One Earth,ONE EARTH,CELL PRESS,2590-3330,2590-3322,ENVIRONMENTAL STUDIES,SSCI,8018,15.3,Q1,1.88,56.04%,4/191,19.2,Q1,14.8,2,17/191,Q1,91.36,0.01799,4.00485,5.638,98.2,Q1,4/183,138,89.86%,3.4,5.6,124
Forest Policy and Economics,FOREST POLICY ECON,ELSEVIER,1179-1594,1872-7050,ENVIRONMENTAL STUDIES,SSCI,7125,3.8,Q2,1.17,38.85%,62/191,4,Q2,2.9,0.9,47/191,Q1,75.65,0.00499,1.11111,0.721,67.8,Q3,101/183,167,96.41%,5.8,7.8,161
Environment and Planning B-Urban Analytics and City Science,ENVIRON PLAN B-URBAN,SAGE PUBLICATIONS LTD,2624-9634,2399-8091,ENVIRONMENTAL STUDIES,SSCI,6639,3.1,Q2,0.76,25.05%,89/191,3.8,Q2,2.8,0.4,89/191,Q2,53.66,0.00458,1.02058,0.779,53.7,Q3,96/183,169,100.00%,7.6,6.8,169
ENVIRONMENTAL & RESOURCE ECONOMICS,ENVIRON RESOUR ECON,SPRINGER,2322-5939,1573-1502,ENVIRONMENTAL STUDIES,SSCI,6498,3.4,Q2,0.9,51.04%,77/191,3.9,Q2,3.3,0.6,73/191,Q2,62.04,0.00493,1.09728,1.087,59.9,Q2,62/183,104,100.00%,8.8,8.4,104
CLIMATE POLICY,CLIM POLICY,TAYLOR & FRANCIS LTD,1469-3062,1752-7457,ENVIRONMENTAL STUDIES,SSCI,6353,5.2,Q1,1.65,44.11%,36/191,7,Q1,4.8,0.7,25/191,Q1,87.17,0.00811,1.80638,1.931,81.4,Q1,21/183,120,91.67%,5.1,4.9,110
Environmental Education Research,ENVIRON EDUC RES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2300-1682,1469-5871,ENVIRONMENTAL STUDIES,SSCI,6131,3.1,Q2,1.03,38.24%,89/191,4.6,Q2,2.5,0.5,58/191,Q2,69.9,0.0039,0.86881,0.902,53.7,Q2,77/183,140,92.86%,7.4,8,130
Environmental Innovation and Societal Transitions,ENVIRON INNOV SOC TR,ELSEVIER,2297-900X,2210-4232,ENVIRONMENTAL STUDIES,SSCI,5965,6.1,Q1,1.2,74.49%,28/191,8.2,Q1,4.7,0.9,43/191,Q1,77.75,0.0062,1.37988,1.776,85.6,Q1,24/183,113,97.35%,4.9,6.4,110
EUROPEAN PLANNING STUDIES,EUR PLAN STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2561-326X,1469-5944,ENVIRONMENTAL STUDIES,SSCI,5819,3.2,Q2,0.75,45.72%,82/191,3.6,Q2,3,0.4,93/191,Q2,51.57,0.00441,0.98279,0.82,57.3,Q3,92/183,72,100.00%,7.3,7.8,72
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,ENVIRON PLANN D,SAGE PUBLICATIONS LTD,2666-7193,1472-3433,ENVIRONMENTAL STUDIES,SSCI,5787,2.5,Q3,0.76,45.29%,109/191,4.5,Q2,2.2,0.7,89/191,Q2,53.66,0.00465,1.03649,1.914,43.2,Q1,22/183,60,100.00%,10.9,7.5,60
ENVIRONMENTAL POLITICS,ENVIRON POLIT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0964-4016,1743-8934,ENVIRONMENTAL STUDIES,SSCI,5424,5.9,Q1,1.92,55.11%,29/191,7.1,Q1,5.4,0.8,15/191,Q1,92.41,0.00648,1.44376,2.415,85.1,Q1,14/183,69,95.65%,6.6,6.5,66
REGIONAL SCIENCE AND URBAN ECONOMICS,REG SCI URBAN ECON,ELSEVIER,0166-0462,1879-2308,ENVIRONMENTAL STUDIES,SSCI,4813,2.9,Q3,0.96,22.44%,96/191,3.7,Q2,2.7,0.7,65/191,Q2,66.23,0.00407,0.90576,1.427,50,Q1,43/183,60,100.00%,10.2,9.8,60
HOUSING STUDIES,HOUSING STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0267-3037,1466-1810,ENVIRONMENTAL STUDIES,SSCI,4544,2.9,Q3,0.59,44.98%,96/191,3.9,Q2,2.5,0.5,116/191,Q3,39.53,0.00489,1.09018,1.129,50,Q2,58/183,97,98.97%,6.5,8.1,96
SOCIETY & NATURAL RESOURCES,SOC NATUR RESOUR,TAYLOR & FRANCIS INC,0894-1920,1521-0723,ENVIRONMENTAL STUDIES,SSCI,4500,1.9,Q3,0.64,22.80%,133/191,2.7,Q3,1.7,0.3,109/191,Q3,43.19,0.00249,0.55466,0.678,30.6,Q3,105/183,61,95.08%,10.4,8.6,58
Extractive Industries and Society,EXTRACT IND SOC,ELSEVIER SCI LTD,2214-790X,2214-7918,ENVIRONMENTAL STUDIES,SSCI,4272,4.3,Q2,0.93,35.86%,49/191,3.8,Q2,3.4,1,70/191,Q2,63.61,0.00494,1.1001,0.784,74.6,Q3,95/183,169,91.12%,3.9,5.8,154
Energy & Environment,ENERG ENVIRON-UK,SAGE PUBLICATIONS LTD,2393-6401,2048-4070,ENVIRONMENTAL STUDIES,SSCI,3967,4.8,Q1,1.09,1.86%,40/191,4.2,Q2,4.5,1.3,52/191,Q2,73.04,0.00338,0.75394,0.572,79.3,Q3,127/183,163,95.71%,2.7,4.3,156
Local Environment,LOCAL ENVIRON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2351-9894,1469-6711,ENVIRONMENTAL STUDIES,SSCI,3645,2.8,Q3,0.63,33.79%,101/191,3.4,Q3,2.6,0.5,112/191,Q3,41.62,0.00281,0.6265,0.846,47.4,Q2,88/183,115,94.78%,7.4,6.8,109
Environment and Planning C-Politics and Space,ENVIRON PLAN C-POLIT,SAGE PUBLICATIONS LTD,2666-6065,2399-6552,ENVIRONMENTAL STUDIES,SSCI,3544,2.2,Q3,0.62,41.61%,122/191,3.1,Q3,2.1,0.4,113/191,Q3,41.1,0.00462,1.028,1.186,36.4,Q2,55/183,95,100.00%,7.1,8.6,95
Utilities Policy,UTIL POLICY,ELSEVIER SCI LTD,0957-1787,1878-4356,ENVIRONMENTAL STUDIES,SSCI,3517,4.4,Q2,0.97,30.15%,48/191,3.7,Q2,4,1.1,64/191,Q2,66.75,0.00303,0.67508,0.652,75.1,Q3,111/183,125,99.20%,3.9,5.7,124
International Journal of Sustainable Transportation,INT J SUSTAIN TRANSP,TAYLOR & FRANCIS INC,1556-8318,1556-8334,ENVIRONMENTAL STUDIES,SSCI,3424,3.9,Q2,0.62,26.90%,59/191,5,Q2,3.7,0.3,113/191,Q3,41.1,0.00327,0.72904,1.039,69.4,Q2,67/183,69,91.30%,5,5.4,63
ORGANIZATION & ENVIRONMENT,ORGAN ENVIRON,SAGE PUBLICATIONS INC,2664-3731,1552-7417,ENVIRONMENTAL STUDIES,SSCI,3374,7.3,Q1,1.19,46.55%,20/191,7.5,Q1,6.6,1.5,45/191,Q1,76.7,0.00212,0.47183,2.048,89.8,Q1,19/183,23,91.30%,9.1,7.7,21
ENERGY JOURNAL,ENERG J,SAGE PUBLICATIONS INC,1178-203X,1944-9089,ENVIRONMENTAL STUDIES,SSCI,3266,2.4,Q3,0.67,10.73%,111/191,2.6,Q3,2.1,0.9,106/191,Q3,44.76,0.00202,0.45106,0.673,42.1,Q3,107/183,88,100.00%,8.6,7.7,88
Climate Risk Management,CLIM RISK MANAG,ELSEVIER,1424-2818,2212-0963,ENVIRONMENTAL STUDIES,SSCI,3225,5,Q1,1.09,98.89%,38/191,5.4,Q1,4.7,1.1,52/191,Q2,73.04,0.00361,0.80323,1.196,80.4,Q2,54/183,90,97.78%,3.8,6,88
HUMAN ECOLOGY,HUM ECOL,SPRINGER/PLENUM PUBLISHERS,1179-1594,1572-9915,ENVIRONMENTAL STUDIES,SSCI,3213,1.7,Q3,0.83,35.32%,142/191,2.2,Q3,1.6,0.4,81/191,Q2,57.85,0.00153,0.34136,0.559,25.9,Q3,130/183,81,98.77%,11.7,10.5,80
JOURNAL OF REGIONAL SCIENCE,J REGIONAL SCI,WILEY,0022-4146,1467-9787,ENVIRONMENTAL STUDIES,SSCI,3212,2.7,Q3,0.7,38.56%,103/191,3.1,Q3,2.3,0.3,101/191,Q3,47.38,0.00179,0.40048,0.982,46.3,Q2,73/183,66,100.00%,12.7,9.7,66
Management of Environmental Quality,MANAG ENVIRON QUAL,EMERALD GROUP PUBLISHING LTD,2662-2211,1758-6119,ENVIRONMENTAL STUDIES,ESCI,3188,4.1,Q2,1.01,2.30%,52/191,5,Q2,3.8,1,60/191,Q2,68.85,0.00232,0.51755,0.663,73,Q3,109/183,81,95.06%,4.5,5.2,77
DISASTERS,DISASTERS,WILEY,2322-5939,1467-7717,ENVIRONMENTAL STUDIES,SSCI,3142,2.6,Q3,1.09,61.64%,105/191,3.1,Q3,2.5,0.4,52/191,Q2,73.04,0.00183,0.40783,0.85,45.3,Q2,85/183,48,100.00%,11.1,7.3,48
Science and Public Policy,SCI PUBL POLICY,OXFORD UNIV PRESS,0302-3427,1471-5430,ENVIRONMENTAL STUDIES,SSCI,3140,2.3,Q3,0.74,40.50%,116/191,2.9,Q3,2,0.4,95/191,Q2,50.52,0.00263,0.5862,0.819,39.5,Q3,93/183,84,96.43%,8,7.9,81
Climate and Development,CLIM DEV,TAYLOR & FRANCIS LTD,2148-9386,1756-5537,ENVIRONMENTAL STUDIES,SSCI,3128,3.4,Q2,0.75,32.85%,77/191,4.7,Q2,3.2,0.5,93/191,Q2,51.57,0.00346,0.77042,1.058,59.9,Q2,65/183,68,91.18%,5,7.3,62
Environmental Communication-A Journal of Nature and Culture,ENVIRON COMMUN,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2052-3211,1752-4040,ENVIRONMENTAL STUDIES,SSCI,2929,4.1,Q2,1.12,32.87%,52/191,4.3,Q2,3.4,1,49/191,Q2,74.61,0.00334,0.74338,1.116,73,Q2,61/183,91,89.01%,5.3,6.6,81
Energy Efficiency,ENERG EFFIC,SPRINGER,1570-646X,1570-6478,ENVIRONMENTAL STUDIES,SSCI,2911,4,Q2,0.64,36.30%,56/191,3.4,Q3,3.7,0.8,109/191,Q3,43.19,0.00235,0.52358,0.636,70.9,Q3,116/183,104,96.15%,5.3,6.6,100
Sustainability Accounting Management and Policy Journal,SUSTAIN ACCOUNT MANA,EMERALD GROUP PUBLISHING LTD,2632-3249,2040-803X,ENVIRONMENTAL STUDIES,SSCI,2906,7.2,Q1,1.38,14.59%,21/191,7.4,Q1,6.4,1.2,35/191,Q1,81.94,0.00228,0.50762,1.077,89.3,Q2,63/183,75,96.00%,4.4,6,72
Frontiers in Climate,FRONT CLIM,FRONTIERS MEDIA SA,2624-9553,2624-9553,ENVIRONMENTAL STUDIES,ESCI,2889,4.1,Q2,0.7,99.62%,52/191,4.8,Q2,3.9,0.9,101/191,Q3,47.38,0.00627,1.39547,1.407,73,Q1,45/183,170,85.29%,2.8,5.9,145
PAPERS IN REGIONAL SCIENCE,PAP REG SCI,ELSEVIER SCI LTD,1056-8190,1435-5957,ENVIRONMENTAL STUDIES,SSCI,2881,2.3,Q3,0.64,93.08%,116/191,2.7,Q3,1.9,0.7,109/191,Q3,43.19,0.00178,0.3961,0.64,39.5,Q3,115/183,44,100.00%,9.2,9.6,44
LAND ECONOMICS,LAND ECON,UNIV WISCONSIN PRESS,2673-253X,1543-8325,ENVIRONMENTAL STUDIES,SSCI,2728,1.6,Q4,0.42,14.02%,148/191,1.7,Q4,1.5,0.9,153/191,Q4,20.16,0.00087,0.19391,0.577,22.8,Q3,126/183,35,100.00%,16.7,10.4,35
ENVIRONMENT AND URBANIZATION,ENVIRON URBAN,SAGE PUBLICATIONS LTD,0956-2478,1746-0301,ENVIRONMENTAL STUDIES,SSCI,2678,2.4,Q3,0.58,39.24%,111/191,3.9,Q2,2.2,0.2,120/191,Q3,37.43,0.00118,0.26472,1.038,42.1,Q2,68/183,29,100.00%,11.3,6.5,29
ANNALS OF REGIONAL SCIENCE,ANN REGIONAL SCI,SPRINGER,0570-1864,1432-0592,ENVIRONMENTAL STUDIES,SSCI,2558,2.1,Q3,0.59,40.45%,124/191,2.2,Q3,1.9,0.3,116/191,Q3,39.53,0.00139,0.3112,0.521,35.3,Q4,138/183,69,100.00%,9.9,11.4,69
RESOURCE AND ENERGY ECONOMICS,RESOUR ENERGY ECON,ELSEVIER,2214-7829,1873-0221,ENVIRONMENTAL STUDIES,SSCI,2512,3.1,Q2,0.67,41.41%,89/191,3.5,Q3,3.1,1.1,106/191,Q3,44.76,0.00166,0.36966,1.036,53.7,Q2,69/183,24,95.83%,10.8,10.4,23
Natural Hazards Review,NAT HAZARDS REV,ASCE-AMER SOC CIVIL ENGINEERS,1527-6988,1527-6996,ENVIRONMENTAL STUDIES,SSCI,2482,2.2,Q3,0.5,11.98%,122/191,2.6,Q3,2,1.4,136/191,Q3,29.06,0.00141,0.31401,0.509,36.4,Q4,142/183,84,95.24%,7.4,7.7,80
Review of Environmental Economics and Policy,REV ENV ECON POLICY,UNIV CHICAGO PRESS,2227-9091,1750-6824,ENVIRONMENTAL STUDIES,SSCI,2428,6.6,Q1,1.89,5.26%,25/191,9.5,Q1,6.5,1.4,16/191,Q1,91.88,0.00293,0.65275,3.676,87.2,Q1,6/183,18,100.00%,7.3,8.4,18
JOURNAL OF ENVIRONMENTAL EDUCATION,J ENVIRON EDUC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2214-7160,1940-1892,ENVIRONMENTAL STUDIES,SSCI,2424,2.4,Q3,0.86,27.78%,111/191,3.7,Q2,2.3,0.6,79/191,Q2,58.9,0.00099,0.22211,0.865,42.1,Q2,81/183,38,100.00%,13.4,8,38
Annual Review of Resource Economics,ANNU REV RESOUR ECON,ANNUAL REVIEWS,1941-1340,1941-1359,ENVIRONMENTAL STUDIES,SSCI,2316,8.4,Q1,1.54,41.10%,15/191,8.8,Q1,8.2,0.5,30/191,Q1,84.55,0.0031,0.69182,3.173,92.4,Q1,8/183,18,33.33%,6.2,7.6,6
Global Environmental Politics,GLOBAL ENVIRON POLIT,MIT PRESS,1526-3800,1536-0091,ENVIRONMENTAL STUDIES,SSCI,2243,4,Q2,1.86,24.24%,56/191,5.4,Q1,3.8,1.5,20/191,Q1,89.79,0.00247,0.55007,2.072,70.9,Q1,18/183,32,100.00%,8.2,7.4,32
Environment and Planning E-Nature and Space,ENVIRON PLAN E-NAT,SAGE PUBLICATIONS INC,2514-8486,2514-8494,ENVIRONMENTAL STUDIES,SSCI,2214,3.2,Q2,0.99,39.80%,82/191,3.9,Q2,2.9,0.4,62/191,Q2,67.8,0.00549,1.22315,1.48,57.3,Q1,39/183,77,100.00%,3.5,7.3,77
